timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1695579934604,410,https://www.propertyfinder.bh/en/search?c=3&fu=0&ob=mr&page=1,200,OK,Scenario 2 2-4,text,true,,391855,559,10,20,https://www.propertyfinder.bh/en/search?c=3&ob=mr&page=1&fu=0,178,0,0
1695579935014,138,https://fledge.eu.criteo.com/tagging/advertiser?partnerId=18695&uid=cd8e042c-df90-4def-9859-4a5044347411&requestId=a935d39d-d2af-4809-9c6a-0f92b4e37a43,200,OK,Scenario 2 2-4,text,true,,3510,622,10,20,https://fledge.eu.criteo.com/tagging/advertiser?uid=cd8e042c-df90-4def-9859-4a5044347411&requestId=a935d39d-d2af-4809-9c6a-0f92b4e37a43&partnerId=18695,138,0,0
1695579935153,132,https://fledge.eu.criteo.com/tagging/advertiser?partnerId=18695&uid=cd8e042c-df90-4def-9859-4a5044347411&requestId=aa321fac-b835-485c-9e1a-ea899d71cc6a,200,OK,Scenario 2 2-4,text,true,,3510,622,10,20,https://fledge.eu.criteo.com/tagging/advertiser?uid=cd8e042c-df90-4def-9859-4a5044347411&requestId=aa321fac-b835-485c-9e1a-ea899d71cc6a&partnerId=18695,132,0,0
1695579935176,335,https://www.propertyfinder.bh/en/search?c=3&fu=0&ob=mr&page=1,200,OK,Scenario 2 2-3,text,true,,391855,559,10,20,https://www.propertyfinder.bh/en/search?c=3&ob=mr&page=1&fu=0,212,0,0
1695579934947,615,https://www.propertyfinder.bh/en/search?c=3&fu=0&ob=mr&page=1,200,OK,Scenario 2 2-2,text,true,,391856,559,10,20,https://www.propertyfinder.bh/en/search?c=3&ob=mr&page=1&fu=0,352,0,0
1695579935258,306,https://www.propertyfinder.bh/en/search?c=3&fu=0&ob=mr&page=1,200,OK,Scenario 2 2-6,text,true,,391856,559,10,20,https://www.propertyfinder.bh/en/search?c=3&ob=mr&page=1&fu=0,200,0,0
1695579935511,130,https://fledge.eu.criteo.com/tagging/advertiser?partnerId=18695&uid=cd8e042c-df90-4def-9859-4a5044347411&requestId=a935d39d-d2af-4809-9c6a-0f92b4e37a43,200,OK,Scenario 2 2-3,text,true,,3510,622,10,20,https://fledge.eu.criteo.com/tagging/advertiser?uid=cd8e042c-df90-4def-9859-4a5044347411&requestId=a935d39d-d2af-4809-9c6a-0f92b4e37a43&partnerId=18695,130,0,0
1695579935368,314,https://www.propertyfinder.bh/en/search?c=3&fu=0&ob=mr&page=1,200,OK,Scenario 2 2-10,text,true,,391854,559,10,20,https://www.propertyfinder.bh/en/search?c=3&ob=mr&page=1&fu=0,195,0,0
1695579935368,351,https://www.propertyfinder.bh/en/search?c=3&fu=0&ob=mr&page=1,200,OK,Scenario 2 2-8,text,true,,391855,559,10,20,https://www.propertyfinder.bh/en/search?c=3&ob=mr&page=1&fu=0,175,0,0
1695579935564,176,https://fledge.eu.criteo.com/tagging/advertiser?partnerId=18695&uid=cd8e042c-df90-4def-9859-4a5044347411&requestId=a935d39d-d2af-4809-9c6a-0f92b4e37a43,200,OK,Scenario 2 2-6,text,true,,3510,622,10,20,https://fledge.eu.criteo.com/tagging/advertiser?uid=cd8e042c-df90-4def-9859-4a5044347411&requestId=a935d39d-d2af-4809-9c6a-0f92b4e37a43&partnerId=18695,176,0,0
1695579935562,180,https://fledge.eu.criteo.com/tagging/advertiser?partnerId=18695&uid=cd8e042c-df90-4def-9859-4a5044347411&requestId=a935d39d-d2af-4809-9c6a-0f92b4e37a43,200,OK,Scenario 2 2-2,text,true,,3510,622,10,20,https://fledge.eu.criteo.com/tagging/advertiser?uid=cd8e042c-df90-4def-9859-4a5044347411&requestId=a935d39d-d2af-4809-9c6a-0f92b4e37a43&partnerId=18695,180,0,0
